name,description,biography,personality,seasons,titles,status,death,origin,allegiance,culture,religion,predecessor,successor,father,mother,spouse,children,siblings,lovers,image_1_src,image_1_caption,image_2_src,image_2_caption,image_3_src,image_3_caption,image_4_src,image_4_caption,image_5_src,image_5_caption,image_6_src,image_6_caption,image_7_src,image_7_caption,image_8_src,image_8_caption,house
Vermithrax,"Vermithrax​ was a dragon who was bred by House Targaryen. After its death, its skull decorated the Red Keep in King's Landing.","","",1,"",Deceased,"",King's Landing,House Targaryen,"","","","","","","","","","","",Vermithrax,"","","","","","","","","","","","","","",House Targaryen
Finn,Finn is a recruit at the Night's Watch. He joined the Night's Watch the same day as Gared Tuttle.,"Finn originates from the area around Raventree Hall, controlled by House Blackwood in the Riverlands. House Blackwood is one of the few major houses outside of the North that continues to worship the Old Gods of the Forest, and Finn does so.
Finn had an affair with a woman who was married to a lord's son. After the lordling found out about the affair between Finn and his wife, he attempted to murder Finn with a dagger. But Finn easily overpowered the lordling and killed him with his own dagger. He kept the dagger as a trophy. To avoid the death sentence of a common man murdering a nobleman, he went to the Wall.","","",Ranger,Determinant,Impaled by a wight (player-determined),Raventree Hall,Night's Watch,"Andal, White Walker (in death) (player-determinant)",Old Gods of the Forest,"","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/5/54/FinnANOV.png/revision/latest?cb=20151006234248,Finn,http://vignette3.wikia.nocookie.net/gameofthrones/images/7/7e/Finn%27s_Knife.png,The knife Finn acquired from the lording.,http://vignette3.wikia.nocookie.net/gameofthrones/images/1/1d/FinnDeath.png,Finn's body after being impaled by a wight.,"","","","","","","","","","",""
Warg King,The Warg King is unseen character in Game of Thrones. He is long dead by the time of the series. He was one of the many Kings of the First Men.,"","","",Warg King,Deceased,Killed at Sea Dragon Point,"","",First Men,Old Gods of the Forest,"","","","","","","","","",Warg King,"","","","","","","","","","","","","","",""
Wildling girl,"A wildling girl is an unnamed minor character in the first season, who also appears briefly on Bran's vision in fourth season. She is played by Claire Wright and first appears in the series premiere. She is seen as a wight in the Haunted Forest.",She was originally a member of the Free Folk before turning into a wight.,"","1, 4","",Deceased,"""Winter is Coming""","","","Free Folk, Wight (in death)","","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/e/ec/Wight.png/revision/latest?cb=20160720034501,Wildling girl,"","","","","","","","","","","","","","",""
Son of the Harpy,"A Son of the Harpy is an unnamed minor character in the fifth season. He is played by guest star Curtis-Lee Ashqar and only appears in ""The House of Black and White"".",He is a member of the Sons of the Harpy.,"",5,"",Deceased,Killed by Mossador,Meereen,Sons of  Harpy,Ghiscari (Meereenese),"","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/2/2a/Son_of_the_Harpy.png/revision/latest?cb=20150421014150,Son of the Harpy,"","","","","","","","","","","","","","",""
Myranda,"Myranda is a recurring character in the third, fourth, fifth and sixth seasons. She is played by guest star Charlotte Hope and debuts in ""The Bear and the Maiden Fair"". Myranda is Ramsay Bolton's lover, and much like him had a cruel and sadistic nature, taking pleasure in inflicting pain and killing.","Myranda was a servant of House Bolton of the Dreadfort, her father being the castle's kennelmaster. She was one of Ramsay Snow's bedwarmers, and part-time helper in some of his torture sessions.","Myranda was a cruel, wily girl with an uncontrollable sadistic streak and sexual urges, which induces a combination thereof, especially throughout the way she assists in the torture of Bolton prisoners, making her equally as wild and sociopathic as her lover, Ramsay. Myranda was deceitful, able to use her sexuality and soft-spoken demeanor to lull victims into a false sense of security before revealing her true nature. Seemingly shy, she does not rage or openly express, but has a perverse pleasure from mutilating or murdering helpless victims.
A noticeable personality trait of Myranda, aside from this, is her jealous nature, especially when it comes to Ramsay, whom she has become extremely possessive over. Such behavior was also displayed when she forced herself upon the imprisoned Theon Greyjoy but grows rather frustrated when he pays more attention to Violet than with her and how she ran down another of Ramsay's lovers, Tansy through the woods with a pack of dogs but states she was jealous of her presence, bitterly preparing to shoot an arrow through her face because ""she thinks she's pretty"". This was seen specifically with Sansa Stark, who became wed to Ramsay, like many others such as Shae and Lysa Arryn, Myranda grew envious over her highborn status and great beauty, repeatedly making threats against her life and threatening to mutilate her before her death.
Despite her sociopathic ways, Myranda does seem to genuinely care about Ramsay, even if he only saw her as a thing to entertain him and was willing to abandon her if she grew boring. She was naive enough, however, to believe him when he said the two would marry one day. This may suggest her feelings for him may be love, or simply misinterpreted as lust. Nevertheless, the relationship is not entirely black-and-white as Ramsay kept her around longer than most of his bedwarmers and even gave a eulogy, vowing revenge on those who killed her before telling Maester Wolkan to feed her corpse to the dogs.","3, 4, 5, 6","",Deceased,Thrown from a rampart by Theon Greyjoy for threatening Sansa Stark,"",House Bolton,Northmen,"","","",Unnamed kennelmaster,"","","","",Ramsay Bolton,http://vignette1.wikia.nocookie.net/gameofthrones/images/9/92/Myranda.jpg/revision/latest?cb=20161215025334,Myranda,http://vignette3.wikia.nocookie.net/gameofthrones/images/7/71/VioletMyranda.jpg,Violet and Myranda.,http://vignette3.wikia.nocookie.net/gameofthrones/images/3/3a/MyrandaS4Bow.jpg,Myranda hunts with Ramsay.,http://vignette3.wikia.nocookie.net/gameofthrones/images/c/c2/Sansa_Myranda-Kill_the_Boy.jpg,Myranda introduces herself to Sansa.,http://vignette1.wikia.nocookie.net/gameofthrones/images/f/fa/MyrandaDeath.jpg,Myranda lies dead in the Winterfell courtyard after being thrown over a rampart by Theon Greyjoy,http://vignette4.wikia.nocookie.net/gameofthrones/images/8/8a/MyrandacorpseBrightened.jpg,Myranda's corpse is mourned by Ramsay.,"","","","",House Bolton
Aegon III Targaryen,Aegon III Targaryen is an character mentioned in the third season and appearing in the Histories & Lore feature. He is long dead by the time of the series. He was the seventh King of the Targaryen dynasty.,"Aegon III was a King of the Targaryen dynasty. He was the son of Rhaenyra Targaryen and her uncle, Prince Daemon Targaryen. He was brother to Viserys.
Aegon ascended to the Iron Throne following the end of the Dance of the Dragons, after his uncle, King Aegon II, was poisoned by his own courtiers. He was married off to his cousin, Princess Jaehaera Targaryen, to unite the two factions of the war - blacks and greens.
Eventually, Aegon fathered five children: Daeron, Baelor, Daena, Rhaena and Elaena. After his death, he was succeded by Daeron.","",3,"King of the Andals and the First Men, Lord of the Seven Kingdoms, Protector of the Realm",Deceased,"",Dragonstone,House Targaryen,Valyrian,"",Aegon II Targaryen,Daeron I Targaryen,Daemon Targaryen,Rhaenyra Targaryen,Jaehaera Targaryen (1st wife),"Daeron I Targaryen, Baelor I Targaryen, Daena Targaryen, Rhaena Targaryen, Elaena Targaryen","Viserys II Targaryen, Maternal half-siblings:, Jacaerys Velaryon , Lucerys Velaryon , Joffrey Velaryon","",http://vignette1.wikia.nocookie.net/gameofthrones/images/f/f7/Aegon_III.png/revision/latest?cb=20161117222224,Aegon III Targaryen,"","","","","","","","","","","","","","",House Targaryen
Temmo,"Temmo was a Dothraki khal who embarked on a vast campaign of plunder four in the Century of Blood that followed the chaos of the Doom of Valyria.
Without the Valyrians and their dragons to keep them in check, the Dothraki swept across Essos. During this time Temmo commanded a khalasar numbering in the tens of thousands.
Temmo was finally stopped, however, by a force of 3,000 Unsullied warrior-eunuchs during the Battle of Qohor. The Dothraki could easily have outflanked the Unsullied, but by tradition they scorn infantry, and thinking of them as easily ridden down. On this occasion, however, the lockstep phalanxes of the Unsullied held firm, and fearlessly resisted his khalasar's assaults. By the end of the battle only 600 Unsullied remained, but 12,000 Dothraki had been killed, including Temmo and his sons. Defeated, the surviving Dothraki cut off their braids and threw them at the feet of the Unsullied, to mark their shame, and departed.","","","",Khal,Deceased,Killed by Unsullied in the Battle of Qohor,Dothraki Sea,Himself,Dothraki,Great Stallion,"","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/7/77/Temmo.jpg/revision/latest?cb=20140306005427,Temmo,"","","","","","","","","","","","","","",""
Night King,"The Night King is a recurring character in the fourth, fifth and sixth seasons. He is played by guest star Richard Brake in the fourth and fifth seasons, and by Vladimir Furdik onward. He first appeared in ""Oathkeeper"". He is the leader and the first of the White Walkers, having existed since the age of the First Men. By extension, he is also the master of the Wights.","Before he became a White Walker, the Night King was a First Man that was captured by the Children of the Forest, Leaf among them. Leaf pressed a dragonglass dagger into his chest, causing his eyes to turn blue and turning him into the first of the White Walkers. Thousands of years later, Leaf tells Bran Stark that her people created the White Walkers to defend themselves when Westeros was invaded by the First Men, who were cutting their sacred trees and slaughtering the Children of the Forest.
The Night King is a legendary figure, known by name among, at least, some noble houses in the North.","","4, 5, 6, 7","",Alive,"","","White Walkers, First Men","White Walkers, First Men (As a human; formerly)","","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/2/2d/NightsKingCrop_%28Hardhome%29.PNG/revision/latest?cb=20150616005007,Night King,http://vignette2.wikia.nocookie.net/gameofthrones/images/f/f7/Night%27s-king-creation-605.jpg,Leaf turns a First Man into the Night King.,http://vignette2.wikia.nocookie.net/gameofthrones/images/f/fc/White_Walker_leaders_thirteen_at_temple.jpg,The Night King approaches an altar-like ice formation where Craster's son is placed.,http://vignette1.wikia.nocookie.net/gameofthrones/images/2/2e/Baby.jpg,"With a touch of his finger, the Night King turns Craster's final son into a White Walker.",http://vignette2.wikia.nocookie.net/gameofthrones/images/e/e5/1508_promo_stills_12001692731.jpg,The Night King and his army look at Jon Snow.,http://vignette3.wikia.nocookie.net/gameofthrones/images/a/aa/Night_king_the_door_with_bran.jpg,The Night King is able to see Bran Stark and grips his arm.,http://vignette2.wikia.nocookie.net/gameofthrones/images/e/ea/Game-of-thrones-nights-king1.jpg,The Night King assaults the cave of the Three-eyed raven with the army of the dead.,"","",""
Commard Karstark,"Lord Commard Karstark is an unseen character in Game of Thrones. He is not expected to appear in the series, being long dead by the time it starts. He is one of the earliest recorded members of House Karstark.",Commard Karstark was the first born son of Lord Beric Karstark and Lady Mara Karstark. He married Regan Umber at Karhold and she bore him five sons.,"",1,Lord of Karhold,Deceased,"",Karhold,House Karstark,Northmen,Old Gods of the Forest,"","",Beric Karstark,Mara Karstark,Regan Umber,"Berrican Karstark, Petyr Karstark, Jon Karstark, Laurence Karstark, Unnamed son","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/1/12/Umber_lineage.jpg/revision/latest?cb=20121017111905,Commard Karstark,"","","","","","","","","","","","","","",""
